,count,avg_overall,avg_sql,avg_table_column,avg_methodology
Complex,98.0,75.82834626030089,67.15650703001948,85.11321671525754,72.61923453371284
Easy,77.0,83.34334123271191,80.84363400947296,89.30117501546073,77.79389441727106
Medium,35.0,81.6299467827042,77.62573595914311,91.82448979591838,74.11151127117513
